Unique_Key|Record_Type|Borough|Block|Lot|Easement|Partial_Lot|Air_Rights|Subterranean_Rights|Property_Type|Street_number|Address|Unit
200900000006300000.00|L|1|877|13|N|E|N|N|SP|50|GRAMERCY PARK NORTH|15AB
200900000001500000.00|L|1|573|39|N|E|N|N|MP|30|FIFTH AVENUE|7G
200900000001500000.00|L|1|573|39|N|E|N|N|MP|30|FIFTH AVENUE|7H
201000000001800000.00|L|1|473|42|N|E|N|N|SP|182|LAFAYETTE STREET|4
201100000002346666.74|L|1|1232|1002|N|E|N|N|SP|255|WEST 84TH STREET|
201200000001895000.00|L|1|1129|39|N|E|N|N|SP|6|WEST 77TH STREET|
201200000005500000.00|L|1|1512|1|N|E|N|N|SP|983|PARK AVENUE|2C
201200000001798800.00|L|1|1508|27|N|E|N|N|SP|175|EAST 79TH STREET|3B
201300000002800000.00|L|1|880|80|N|P|N|N|SP|118|EAST 25TH STREET|3
201300000002900000.00|L|1|1360|1|N|E|N|N|SP|870|UNITED NATIONS PLAZA|22F
201300000001450000.00|L|1|1458|1202|N|E|N|N|SP|425|EAST 63RD STREET|
201300000001750000.00|L|1|566|18|N|E|N|N|SP|20|EAST 9TH STREET|12U
201400000003055000.00|L|1|1186|48|N|E|N|N|SP|54|RIVERSIDE DRIVE|12C
201400000000000000.00|L|1|1845|1305|N|E|N|N|SC|220|MANHATTAN AVENUE|7A
201400000000003388.89|L|1|1845|1305|N|E|N|N|SC|220|MANHATTAN AVENUE|7A
201400000000387875.00|L|1|1845|1305|N|E|N|N|SC|220|MANHATTAN AVENUE|7A
201400000000010578.76|L|1|1310|1569|N|E|N|N|SC|150|EAST 56TH STREET|
201400000000364608.00|L|1|1310|1569|N|E|N|N|SC|150|EAST 56TH STREET|
201400000000000000.00|L|1|1310|1569|N|E|N|N|SC|150|EAST 56TH STREET|
201500000001410000.00|L|1|91|1332|N|E|N|N|SC|111|FULTON STREET|808
201500000001128000.00|L|1|91|1332|N|E|N|N|SC|111|FULTON STREET|808
201400000000000000.00|L|1|91|1332|N|E|N|N|SC|111|FULTON STREET|808
201500000001319662.50|L|1|1710|39|N|E|N|N|D4|424|EAST 117 STREET|
201400000000000000.00|L|1|1710|39|N|E|N|N|D4|424|EAST 117 STREET|
201500000042845831.74|L|1|486|1201|N|E|N|N|CR|57|GREENE STREET|1
201500000042845831.74|L|1|486|1202|N|E|N|N|CR|57|GREENE STREET|2
201400000003000000.00|L|1|124|8|N|E|N|N|CR|19|PARK PLACE|
201400000006618941.45|L|1|124|8|N|E|N|N|CR|19|PARK PLACE|
201400000001466311.00|L|1|124|8|N|E|N|N|CR|19|PARK PLACE|
201500000001600000.00|L|1|518|38|N|E|N|N|SP|140|SULLIVAN STREET|3R
201500000001380000.00|L|1|1427|38|N|E|N|N|SP|210|EAST 73RD ST|3GH
201500000002360000.00|L|1|483|13|N|E|N|N|SP|514|BROADWAY|6G
201500000000600000.00|L|1|1125|2|N|E|N|N|SP|49|WEST 72ND STREET|12A
201500000000000000.00|L|1|1558|20|N|E|N|N|AP|333|EAST 95TH STREET|
201500000000000000.00|L|1|2024|134|N|E|N|N|F4|2374|ADAM C POWELL BLVD|
201500000000000000.00|L|1|2024|134|N|E|N|N|F4|2374|ADAM C POWELL BLVD|
201500000000520000.00|L|1|2179|440|N|E|N|N|SP|350|CABRINI BOULEVARD|5E
201500000000000000.00|L|1|860|12|N|E|N|N|CR|15-19|EAST 30TH STREET|
