Unique_Key|Record_Type|Date_File|CRFN|Recorded_Borough|Doc_type|Document_date|Document_amount|Recorded_date|Modified_date
200900000006300000.00|A|03/04/2015|2015000071367|1|RPTT&RET|06/04/2009|6300000.00|03/03/2015|03/03/2015
200900000001500000.00|A|03/04/2015|2015000071363|1|RPTT&RET|07/21/2009|1500000.00|03/03/2015|03/03/2015
201000000001800000.00|A|03/04/2015|2015000071446|1|RPTT&RET|10/14/2010|1800000.00|03/03/2015|03/03/2015
201100000002346666.74|A|03/04/2015|2015000071447|1|RPTT&RET|12/22/2011|2346666.74|03/03/2015|03/03/2015
201200000001895000.00|A|03/04/2015|2015000071368|1|RPTT&RET|08/08/2012|1895000.00|03/03/2015|03/03/2015
201200000005500000.00|A|03/04/2015|2015000071369|1|RPTT&RET|09/07/2012|5500000.00|03/03/2015|03/03/2015
201200000001798800.00|A|03/04/2015|2015000071448|1|RPTT&RET|12/21/2012|1798800.00|03/03/2015|03/03/2015
201300000002800000.00|A|03/04/2015|2015000071364|1|RPTT&RET|06/19/2013|2800000.00|03/03/2015|03/03/2015
201300000002900000.00|A|03/04/2015|2015000071365|1|RPTT&RET|07/17/2013|2900000.00|03/03/2015|03/03/2015
201300000001450000.00|A|03/04/2015|2015000071362|1|RPTT&RET|10/17/2013|1450000.00|03/03/2015|03/03/2015
201300000001750000.00|A|03/04/2015|2015000071449|1|RPTT&RET|12/20/2013|1750000.00|03/03/2015|03/03/2015
201400000003055000.00|A|03/04/2015|2015000071366|1|RPTT&RET|01/27/2014|3055000.00|03/03/2015|03/03/2015
201400000000000000.00|A|03/04/2015|2015000071739|1|ASST    |08/04/2014|$-|03/03/2015|03/03/2015
201400000000003388.89|A|03/04/2015|2015000071740|1|MTGE    |09/17/2014|3388.89|03/03/2015|03/03/2015
201400000000387875.00|A|03/04/2015|2015000071741|1|AGMT    |09/17/2014|387875.00|03/03/2015|03/03/2015
201400000000010578.76|A|03/04/2015|2015000072324|1|MTGE    |12/04/2014|10578.76|03/03/2015|03/03/2015
201400000000364608.00|A|03/04/2015|2015000072325|1|AGMT    |12/04/2014|364608.00|03/03/2015|03/03/2015
201400000000000000.00|A|03/04/2015|2015000072326|1|SUBM    |12/01/2014|$-|03/03/2015|03/03/2015
201000000000000000.00|A|03/04/2015|2015000072373|1|PAT     |09/24/2010|$-|03/03/2015|03/03/2015
201500000001410000.00|A|03/04/2015|2015000071541|1|DEED    |01/13/2015|1410000.00|03/03/2015|03/03/2015
201500000001128000.00|A|03/04/2015|2015000071542|1|MTGE    |01/13/2015|1128000.00|03/03/2015|03/03/2015
201400000000000000.00|A|03/04/2015|2015000071543|1|PAT     |01/13/2014|$-|03/03/2015|03/03/2015
201500000001319662.50|A|03/04/2015|2015000071617|1|DEED    |01/05/2015|1319662.50|03/03/2015|03/03/2015
201400000000000000.00|A|03/04/2015|2015000071618|1|SAT     |12/30/2014|$-|03/03/2015|03/03/2015
201500000042845831.74|A|03/04/2015|2015000035992|1|AGMT    |01/08/2015|42845831.74|02/02/2015|03/03/2015
201400000003000000.00|A|03/04/2015|2015000072356|1|AGMT    |11/24/2014|3000000.00|03/03/2015|03/03/2015
201400000006618941.45|A|03/04/2015|2015000072357|1|AGMT    |11/24/2014|6618941.45|03/03/2015|03/03/2015
201400000001466311.00|A|03/04/2015|2015000072358|1|AGMT    |11/24/2014|1466311.00|03/03/2015|03/03/2015
201500000001600000.00|A|03/04/2015|2015000072027|1|RPTT&RET|01/30/2015|1600000.00|03/03/2015|03/03/2015
201500000001380000.00|A|03/04/2015|2015000072064|1|RPTT&RET|02/03/2015|1380000.00|03/03/2015|03/03/2015
201500000002360000.00|A|03/04/2015|2015000072218|1|RPTT&RET|01/29/2015|2360000.00|03/03/2015|03/03/2015
201500000000600000.00|A|03/04/2015|2015000072066|1|RPTT&RET|02/06/2015|600000.00|03/03/2015|03/03/2015
201500000000000000.00|A|03/04/2015|2015000071479|1|DEED    |01/15/2015|$-|03/03/2015|03/03/2015
201500000000000000.00|A|03/04/2015|2015000070883|1|SAGE    |01/28/2015|$-|03/03/2015|03/03/2015
201500000000000000.00|A|03/04/2015|2015000070884|1|SAGE    |01/28/2015|$-|03/03/2015|03/03/2015
201500000000520000.00|A|03/04/2015|2015000072220|1|RPTT&RET|02/04/2015|520000.00|03/03/2015|03/03/2015
201500000000000000.00|A|03/04/2015|2015000072172|1|PREL    |01/26/2015|$-|03/03/2015|03/03/2015
201500000000000000.00|A|03/04/2015|2015000072173|1|PREL    |01/26/2015|$-|03/03/2015|03/03/2015
201500000000000000.00|A|03/04/2015|2015000072174|1|DEED    |01/26/2015|$-|03/03/2015|03/03/2015
201500000102000000.00|A|03/04/2015|2015000072175|1|DEED    |01/26/2015|102000000.00|03/03/2015|03/03/2015
201500000000000000.00|A|03/04/2015|2015000072176|1|DEED    |01/26/2015|$-|03/03/2015|03/03/2015
201500000005000000.00|A|03/04/2015|2015000072177|1|DEED    |01/26/2015|5000000.00|03/03/2015|03/03/2015
201500000000000000.00|A|03/04/2015|2015000072178|1|ASST    |01/26/2015|$-|03/03/2015|03/03/2015
201500000000000000.00|A|03/04/2015|2015000072179|1|TL&R    |01/26/2015|$-|03/03/2015|03/03/2015
201500000000000000.00|A|03/04/2015|2015000072180|1|DEED    |01/26/2015|$-|03/03/2015|03/03/2015
201500000005000000.00|A|03/04/2015|2015000072181|1|DEED    |01/26/2015|5000000.00|03/03/2015|03/03/2015
201500000003000000.00|A|03/04/2015|2015000072182|1|DEED    |01/26/2015|3000000.00|03/03/2015|03/03/2015
201500000007000000.00|A|03/04/2015|2015000072183|1|DEED    |01/26/2015|7000000.00|03/03/2015|03/03/2015
201500000100000000.00|A|03/04/2015|2015000072184|1|M&CON   |01/26/2015|100000000.00|03/03/2015|03/03/2015
201500000100000000.00|A|03/04/2015|2015000072185|1|AL&R    |01/26/2015|100000000.00|03/03/2015|03/03/2015
201500000000000000.00|A|03/04/2015|2015000072187|1|PAT     |01/26/2015|$-|03/03/2015|03/03/2015
201500000000000000.00|A|03/04/2015|2015000072336|1|PAT     |01/22/2015|$-|03/03/2015|03/03/2015
